String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Weiss Cannon Turbotwist 17 (1.24),40,Fast,Polyester,170.9,65.3,4.2
Kirschbaum Pro Line II 17L (1.20),62,Fast,Polyester,218.3,40.2,4.8
Tourna Big Hitter Silver Rough 16,62,Fast,Polyester,236.6,35.2,4.5
Luxilon Big Banger ALU Power Spin 127/16,40,Fast,Polyester,185.2,55.6,4.3
Gamma RZR Rx 16,62,Fast,Polyester,217.2,25.4,3.9
Luxilon ALU Power Feel 18/1.20,62,Fast,Polyester,198.3,38,5.4
Tourna Big Hitter Silver 17,51,Fast,Polyester,185.7,44,5.4
Gamma Zo Magic 16,51,Fast,Polyester,248,33.7,4.1
Solinco Tour Bite Soft 16L (1.25),51,Fast,Polyester,192,29.3,5.8
Gosen G-Tour 16 (1.30),51,Fast,Polyester,184,31.1,5.3
MSV Hepta-Twist 17,40,Fast,Polyester,144.6,64.7,5.7
Gosen Polylon 17 (1.24),62,Fast,Polyester,240,42,4.3
Polyfibre Hightec Premium 16/1.30,40,Fast,Polyester,154.3,61.7,4.2
Dunlop Black Widow 17,51,Fast,Polyester,216.6,31.6,5.4
Prince Tour 17,62,Fast,Polyester,242.9,44.2,3.4
Diadem Solstice Power 16 (1.30),62,Fast,Polyester,219.5,24.1,8.1
Signum Pro Poly-Plasma Pure 17L (1.18),51,Fast,Polyester,196,44.3,NA
Kirschbaum Competition 17L (1.20),40,Fast,Polyester,153.2,57.7,4.1
Poly Star Energy 16L (1.25),40,Fast,Polyester,135.4,72.3,3.7
IsoSpeed Pulse 17,62,Fast,Polyester,185.7,48,NA
Volkl Cyclone Tour 16 (1.30),51,Fast,Polyester,167.4,52.1,8.7
Volkl V-Square 16 (1.30),51,Fast,Polyester,190.9,47.9,11.3
Babolat Hurricane Feel 16,51,Fast,Polyester,249.7,30.7,4.7
Yonex Poly Tour 130/16,62,Fast,Polyester,256.6,41.8,NA
Babolat Ballistic Polymono 16,40,Fast,Polyester,201.7,52.2,4.7
Prince Tour 16,62,Fast,Polyester,254.3,45.3,3.1
Dunlop Explosive 18 (1.20),51,Fast,Polyester,194.3,28.7,5
Solinco Outlast 17,51,Fast,Polyester,182.9,50.4,5.5
Kirschbaum Helix 16,51,Fast,Polyester,204.6,55.3,5.4
Super String Tour Players V3 17 (1.20),40,Fast,Polyester,175.5,50.7,NA
Luxilon M2 Plus 130/16,51,Fast,Polyester,202.9,52,NA
MSV Focus Hex Soft 17 (1.25),51,Fast,Polyester,228,29.4,6.3
Prince Tour XC 15L,51,Fast,Polyester,208.6,45.4,5.5
Signum Pro Plasma HEXtreme 16 (1.30),51,Fast,Polyester,225.7,24.8,7.3
Babolat RPM Blast Rough 16,51,Fast,Polyester,209.7,29.5,8.2
Topspin Cyber Blue 17,51,Fast,Polyester,183.5,46.1,5.1
Gosen Polylon PolyBreak 18 (1.20),40,Fast,Polyester,135.4,62,4.8
Leopard Plus Control 16,51,Fast,Polyester,225.7,40,3.9
Luxilon 4G 16L (1.25),40,Fast,Polyester,234.9,39.3,3.9
Prince Poly Spin 3D,40,Fast,Polyester,138.3,67.8,3.3
Diadem Solstice Power 17 (1.20),51,Fast,Polyester,196.6,28.5,8.6
Weiss Cannon Turbotwist 17L (1.18),62,Fast,Polyester,236,36.1,4.8
Kirschbaum P2 17L (1.20),51,Fast,Polyester,197.2,41.6,4.8
Poly Star Classic 17 (1.20),51,Fast,Polyester,166.9,61.6,4
Pacific Poly Force 16L,62,Fast,Polyester,238.3,40.6,4.5
Pacific X Force 18,51,Fast,Polyester,208.6,37,4.7
Y-Tex Quadro Twist 16L,40,Fast,Polyester,128,67.9,6.2
Tecnifibre Black Code 16,40,Fast,Polyester,221.2,45.8,NA
Tourna Big HItter Silver 16,51,Fast,Polyester,209.2,26.3,6.8
Genesis Black Magic 16 (1.29),51,Fast,Polyester,207.5,36.1,6.2
Luxilon Monotec Supersense 16L/1.25,62,Fast,Polyester,241.7,36.5,2.1
Dunlop Juice 17 (1.26),51,Fast,Polyester,208.6,45.8,3.9
Kirschbaum P2 16/1.30,40,Fast,Polyester,201.7,44.5,5.2
Head Sonic Pro Edge 16,62,Fast,Polyester,216.6,35,4.8
Luxilon Big Banger Ace 18 (1.12),51,Fast,Polyester,203.5,46.1,4
Boris Becker Bomber 16,51,Fast,Polyester,204.6,46.9,5.1
Babolat RPM Blast 18 (1.20),51,Fast,Polyester,189.2,36.1,5.1
Head Hawk Touch 18 (1.20),51,Fast,Polyester,196,31.9,5.2
Polyfibre TCS 17,40,Fast,Polyester,126.3,69,4.2
Tecnifibre Pro Red Code 17,40,Fast,Polyester,214.3,42.9,4.8
Wilson Ripspin 17,51,Fast,Polyester,209.2,37.8,5.2
Double AR Twice Dragon(1.30),51,Fast,Polyester,170.9,51.2,7.2
Diadem Solstice Power 16L (1.25),51,Fast,Polyester,209.2,27.1,7.3
SuperString Pure Control V8 17,51,Fast,Polyester,162.9,50.3,NA
Volkl Cyclone 18,51,Fast,Polyester,181.2,48.1,7.1
Babolat RPM Dual 16,40,Fast,Polyester,214.3,55.6,4.6
Prince Tour XC 17L,40,Fast,Polyester,175.5,54.4,5.9
Babolat Revenge 17,40,Fast,Polyester,194.3,55.6,NA
Solinco Revolution 17,40,Fast,Polyester,156,60.4,6.6
Solinco Hyper-G 16L (1.25),51,Fast,Polyester,218.3,24.7,6.1
Luxilon Savage 16/1.27,62,Fast,Polyester,271.5,34.8,3.4
Gosen Polylon SP 17 (1.24),51,Fast,Polyester,174.9,52.2,4.6
Weiss Cannon Scorpion 1.22,62,Fast,Polyester,211.5,41.6,4
L-Tec Premium OS 17 (1.23),62,Fast,Polyester,250.3,27.8,4.1
Solinco Hyper-G 16,40,Fast,Polyester,196.6,46.1,7
Kirschbaum Touch Turbo 17 (1.25),62,Fast,Polyester,230.9,41.5,5.2
Poly Star Classic 16 (1.30),62,Fast,Polyester,209.7,54.1,4.2
Luxilon Big Banger XP 125/16L,40,Fast,Polyester,190.3,55.1,4.1
One Strings Carbon NRG 16,62,Fast,Polyester,206.3,39.8,5.1
Signum Pro Tornado 16,51,Fast,Polyester,215.5,47.7,5.1
Tecnifibre Black Code 4S 18 (1.20),51,Fast,Polyester,210.3,25.4,6.1
MSV Focus-Hex 16 (1.23),51,Fast,Polyester,218.9,29.1,7.5
Tourna Big Hitter Blue Rough 17,40,Fast,Polyester,176.6,60.3,3.2
Kirschbaum Touch Turbo 1.30,51,Fast,Polyester,218.3,45.7,5.3
Gamma Zo Verve 17,51,Fast,Polyester,230.9,25.3,6.1
Wilson Enduro Tour 18,62,Fast,Polyester,210.3,49.1,NA
MSV Focus Evo 16,62,Fast,Polyester,260,36.4,4.9
Polyfibre Poly Hightec 18,51,Fast,Polyester,150.3,61,3.9
Solinco Tour Bite 16L (1.25),40,Fast,Polyester,219.5,41.6,5.9
Topspin Cyber Blue 16,62,Fast,Polyester,203.5,44.2,5.8
Volkl V-Pro 18,62,Fast,Polyester,236.6,32.5,4.9
Luxilon 4G 16 (1.30),62,Fast,Polyester,305.8,16,NA
Prince Tour XS 1.35,62,Fast,Polyester,216.6,35.2,5
MSV Co-Focus 17L (1.18),51,Fast,Polyester,185.7,31,7.2
Yonex Poly Tour HS 16L (1.25),51,Fast,Polyester,198.3,28.5,5.7
Tecnifibre X-Code 16,40,Fast,Polyester,161.2,46.1,2
Dunlop Explosive 16,40,Fast,Polyester,213.2,41.7,4.8
Luxilon Adrenaline 16L/1.25,62,Fast,Polyester,228,37.5,3.5
Wilson Enduro Gold 16,40,Fast,Polyester,183.5,53.2,NA
L-Tec Premium 5S 16L (1.25),51,Fast,Polyester,210.3,36.8,4
Wilson Enduro Mono 16L,62,Fast,Polyester,253.2,37.8,NA
Solinco Tour Bite Diamond Rough 16L (1.25),62,Fast,Polyester,226.9,34.6,5.4
Dunlop Comfort Poly 17,51,Fast,Polyester,236.6,42.1,4.5
Kirschbaum Pro Line I 17L (1.20),40,Fast,Polyester,163.4,59.9,3.9
Polyfibre Hexablade 16L (1.25),40,Fast,Polyester,148.6,65.6,4.6
Luxilon Monotec Zolo 125/16,51,Fast,Polyester,213.2,48.3,NA
Head Hawk 17 (1.25),51,Fast,Polyester,204.6,32.9,4.7
Gamma Monoblast 16,62,Fast,Polyester,252.6,37.1,3.8
MSV Focus-Hex +38 16L (1.25),51,Fast,Polyester,173.2,53.5,7.7
SuperString Viper V2 Rough 16L,51,Fast,Polyester,194.3,38.3,5
Head Ultratour 17,51,Fast,Polyester,207.5,44.9,4.1
Gamma Zo Black Ice 17 (1.23),40,Fast,Polyester,184,57.8,3.7
Kirschbaum Pro Line II 1.30,62,Fast,Polyester,235.5,38.9,5.7
Gosen Sidewinder 17,40,Fast,Polyester,127.4,59.3,4.6
Luxilon Adrenaline 16,40,Fast,Polyester,179.5,58.3,3.6
Tourna Big Hitter Blue 16,40,Fast,Polyester,208,45.6,NA
Luxilon Element 1.30,51,Fast,Polyester,191.5,44.3,6.6
Polyfibre Poly Hightec 16L,62,Fast,Polyester,208.6,50.8,4.4
Tecnifibre Black Code 17,62,Fast,Polyester,270.9,32.5,4.2
Babolat Pro Hurricane 16,62,Fast,Polyester,226.3,35.7,NA
Luxilon Big Banger XP 15L (1.38),51,Fast,Polyester,236.6,48,3.6
Poly Star Turbo 16 (1.30),51,Fast,Polyester,165.2,66.7,5.3
Prince Tour XS 16,40,Fast,Polyester,176,47.4,5.5
Double AR Diablo (1.24),51,Fast,Polyester,166.9,55.4,7.4
Luxilon Monotec Zolo 15L,40,Fast,Polyester,197.7,54.6,4.6
Tecnifibre Polyspin 16L,40,Fast,Polyester,221.7,41.3,3.8
Solinco Tour Bite 16 Soft,51,Fast,Polyester,184,50.3,6.9
Babolat Revenge 16,62,Fast,Polyester,305.8,32.3,NA
Kirschbaum Helix 17,51,Fast,Polyester,208.6,44.2,5.4
Kirschbaum Super Smash Spiky 1.20,51,Fast,Polyester,205.2,52.7,5.1
Polyfibre TCS 18 (1.15),40,Fast,Polyester,120.6,70.8,NA
Kirschbaum Pro Line X 16 (1.30),40,Fast,Polyester,224.6,40.2,5.1
Prince Tournament Poly 17,40,Fast,Polyester,175.5,57.8,NA
Wilson Revolve 17 (1.25),51,Fast,Polyester,192,36.2,7.7
Gamma IO Soft 17 (1.23),51,Fast,Polyester,192.6,33.9,5.9
Polyfibre TCS Rapid 16L/1.25,62,Fast,Polyester,205.7,50.4,4.3
Kirschbaum Pro Line II 18 (1.15),51,Fast,Polyester,182.9,46.4,4.5
Tourna Big Hitter Silver Rough 17,51,Fast,Polyester,197.2,42.1,4.1
Luxilon Big Banger Original 130/16,62,Fast,Polyester,250.3,40.8,4.8
Gamma Zo Twist 16,40,Fast,Polyester,146.3,65.3,4.7
Solinco Tour Bite 19 (1.10),51,Fast,Polyester,171.5,32.2,7.2
Signum Pro Poly-Plasma 16L,62,Fast,Polyester,254.9,34.1,4.7
Yonex Poly Tour Pro Yellow 16L (1.25),51,Fast,Polyester,181.2,46.3,NA
Signum Pro Plasma HEXtreme 16L/1.25,51,Fast,Polyester,204.6,41.5,5.9
Tourna Big Hitter Black 7 17,62,Fast,Polyester,191.5,45.3,6.3
Babolat Pro Hurricane 17,51,Fast,Polyester,192.6,42,3.1
RS RS Lyon 17,62,Fast,Polyester,215.5,28.7,5.4
Signum Pro Poly Megaforce 17 (1.19),40,Fast,Polyester,193.7,43.4,4.8
Kirschbaum Super Smash 17 (1.25),62,Fast,Polyester,256.6,39.5,5.7
Poly Star Strike 16L (1.25),62,Fast,Polyester,208.6,48.3,4.8
Kirschbaum Max Power 17 (1.25),40,Fast,Polyester,210.3,42.1,5.4
Ashaway MonoGut 17,51,Fast,Polyester,188.6,50.9,3.9
Volkl V-Star 18 (1.20),51,Fast,Polyester,163.4,50.7,0
Gosen Polylon Comfort 16,62,Fast,Polyester,232,44.3,5.5
IsoSpeed V18 19 (1.12),51,Fast,Polyester,180,40.4,5.1
Polyfibre Hightec Premium 17,62,Fast,Polyester,200.6,51.3,3.9
Babolat RPM Team 16 Black,62,Fast,Polyester,298.3,17.5,3.9
Luxilon 4G Soft 1.25,40,Fast,Polyester,193.2,37.3,6.7
Solinco Revolution 16,40,Fast,Polyester,191.5,55,6.4
Kirschbaum Spiky Shark 16,40,Fast,Polyester,182.3,58.6,7.5
Volkl Cyclone 16,40,Fast,Polyester,170.3,58.4,6.2
Kirschbaum Pro Line II 17 (1.25),62,Fast,Polyester,227.5,37.9,4.7
Tourna Big Hitter Blue Rough 16,62,Fast,Polyester,250.9,32.2,3.4
Luxilon M2 Pro 125/16,40,Fast,Polyester,154.9,62.5,3.6
Tecnifibre Razor Code 16 (1.30),62,Fast,Polyester,275.5,24.1,4.2
Luxilon 4G Rough 16L,62,Fast,Polyester,234.9,24.1,4.2
MSV Co.-Focus 16L,51,Fast,Polyester,184.6,49.7,4.2
Gamma Zo Ice 16,51,Fast,Polyester,223.5,37.8,4.2
Solinco Hyper-G 17 (1.20),51,Fast,Polyester,194.9,25.7,6.1
Babolat RPM Blast Rough 17,51,Fast,Polyester,196,35.7,9.9
Gosen Polymaster II 16,62,Fast,Polyester,206.9,44.2,5.1
Polyfibre TCS 16/1.30,40,Fast,Polyester,149.2,63.1,4.4
Babolat RPM Blast 17/1.25,51,Fast,Polyester,233.7,33.3,4.6
Diadem Solstice Pro 16L (1.25),62,Fast,Polyester,194.9,28.6,7.3
Signum Pro Poly-Plasma Pure 17 (1.23),51,Fast,Polyester,199.5,43,5.2
Poly Star Energy 16 (1.30),40,Fast,Polyester,141.2,68.8,4
Pacific Poly Force Xtreme 16L,40,Fast,Polyester,192,48,5
Double AR Raptor 1.27,51,Fast,Polyester,238.3,22.3,5.3
IsoSpeed Pulse 16,62,Fast,Polyester,192.6,51.9,4.7
Kirschbaum Xplosive Speed 1.25,51,Fast,Polyester,185.7,41.4,7.1
Dunlop Juice 16 (1.31),40,Fast,Polyester,177.2,62,3.6
Kirschbaum Super Smash Spiky 16/1.30,62,Fast,Polyester,262.3,43,5
Weiss Cannon Black 5 Edge 17 (1.24),40,Fast,Polyester,181.7,56.9,4.7
Luxilon Big Banger ALU Power Fluoro 17,40,Fast,Polyester,175.5,55,NA
MSV Focus Evo 17,40,Fast,Polyester,185.2,56.5,4.5
Double AR Twice Shark (1.25),62,Fast,Polyester,181.2,51.6,5.7
Dunlop Ice 16 (1.30),51,Fast,Polyester,204.6,45.4,5.8
Solinco Outlast 16,51,Fast,Polyester,208,47.3,6
Babolat Pro Hurricane Tour 16,40,Fast,Polyester,205.7,50.7,5.1
Signum Pro Poly-Plasma 17L (1.18),40,Fast,Polyester,179.5,42.4,5
Klip Hardcore 16/1.30,51,Fast,Polyester,193.2,49.8,4.7
Gamma Moto 16,51,Fast,Polyester,226.9,30.8,5.8
Prince Tour XC 16L,51,Fast,Polyester,205.7,36.7,5.5
Boris Becker Bomber 17,62,Fast,Polyester,201.7,45,NA
Solinco Tour Bite 17,62,Fast,Polyester,205.2,43,6.3
Prince Tour XR 17 (1.25),51,Fast,Polyester,203.5,42.2,5.9
Diadem Elite XT 17,51,Fast,Polyester,189.2,31.7,9.3
SuperString Nikita Original 1.25,51,Fast,Polyester,198.9,42.9,3.4
Prince Beast XP 16,51,Fast,Polyester,198.9,41.7,3.9
Gosen Polylon PolyBreak 17 (1.24),40,Fast,Polyester,160.6,57.5,4.2
Weiss Cannon MatchPower 1.25,51,Fast,Polyester,218.3,38.4,3.6
Kirschbaum Black Shark 17 (1.25),40,Fast,Polyester,177.2,55.5,5.8
Weiss Cannon Scorpion 1.33,62,Fast,Polyester,254.9,39.5,4.2
Kirschbaum P2 17 (1.25),51,Fast,Polyester,235.5,33.9,4.9
Poly Star Classic 16L (1.25),51,Fast,Polyester,174.9,54.5,4.4
Pacific Poly Force 17,51,Fast,Polyester,233.2,36.7,4.5
Tourna Black Zone 16,40,Fast,Polyester,184.6,38.8,5.6
Signum Pro Poly-Plasma Pure 16L,40,Fast,Polyester,199.5,48.5,5.6
Luxilon ALU Power Rough 16L (1.25),51,Fast,Polyester,209.2,39.6,6.5
MSV Hepta-Twist 16,62,Fast,Polyester,223.5,43,0
Luxilon Adrenaline 17/1.20,62,Fast,Polyester,245.7,33.7,2.9
Kirschbaum Competition 16/1.30,40,Fast,Polyester,186.3,53.9,4.9
Luxilon Big Banger Timo 18 (1.10),51,Fast,Polyester,189.2,45.4,3.6
Polyfibre TCS 16L,40,Fast,Polyester,137.2,65.6,3.8
Tecnifibre Pro Red Code 18,40,Fast,Polyester,204.6,40.3,5
Wilson Ripspin 16,51,Fast,Polyester,212,39.6,5.2
Double AR Diablo (1.31),62,Fast,Polyester,199.5,49,7.7
IsoSpeed Axon Mono 16L,62,Fast,Polyester,230.9,29.8,3.2
Head Ultra Tour 16,62,Fast,Polyester,218.9,39.9,4.5
Topspin Cyber Flash 17L,51,Fast,Polyester,144,59.1,4.6
Volkl Cyclone 17,51,Fast,Polyester,191.5,48.1,5.8
Signum Pro Firestorm 1.25,40,Fast,Polyester,172.6,55.8,4.8
Prince Tour XP 15L,40,Fast,Polyester,165.2,58.2,5.2
Pacific Poly Power Pro 16L (1.25),51,Fast,Polyester,180,47.4,5.3
Prince Tour XR 15L (1.35),51,Fast,Polyester,213.2,48.6,6.7
Mantis Power Poly 17,62,Fast,Polyester,230.3,39.1,4.8
Luxilon Adrenaline Rough 16L/1.25,62,Fast,Polyester,247.5,37.9,3.3
Gosen Polylon SP 16 (1.30),51,Fast,Polyester,184.6,52.5,4
Weiss Cannon Silverstring 120,62,Fast,Polyester,181.7,52.4,3.7
L-Tec Premium Pro OS 16L,62,Fast,Polyester,270.3,22.5,4.3
Volkl Cyclone 19 (1.10),40,Fast,Polyester,156.6,45.6,8.2
Kirschbaum Touch Turbo 16L (1.275),62,Fast,Polyester,222.9,45.3,5.4
Babolat Hurricane Feel 17,62,Fast,Polyester,264,30.1,4.4
Luxilon Monotec Super Poly 1.25/16L,40,Fast,Polyester,208,53.2,3.3
Pacific X Force 17,62,Fast,Polyester,246.9,33.9,4.5
Signum Pro Hyperion 16,51,Fast,Polyester,220,40.9,4.6
Tecnifibre Black Code 15L (1.32),51,Fast,Polyester,210.3,29.5,6.1
Signum Pro Yellow Jacket 17g (1.22),51,Fast,Polyester,197.7,32.6,6.3
SuperString Nikita Soft 16L,40,Fast,Polyester,132.6,63.6,0
Gamma Zo Tour 17 (1.25),62,Fast,Polyester,239.5,42.9,3.7
Kirschbaum Pro Line I 1.30,51,Fast,Polyester,224.6,47.8,4.4
Volkl Cyclone Tour 17 (1.25),51,Fast,Polyester,170.9,52.6,6.1
Wilson Enduro Tour 16,62,Fast,Polyester,283.5,33.2,5.2
Yonex Poly Tour Spin G 1.25,62,Fast,Polyester,252.6,20.7,4.8
Gosen Poly Professional 17 (1.24),51,Fast,Polyester,169.2,44.6,5.6
Polyfibre Poly Hightec 17,51,Fast,Polyester,157.7,63,4
Tecnifibre Black Code 18,51,Fast,Polyester,202.9,40.7,4.6
Poly Star Turbo 16L (1.25),40,Fast,Polyester,110.9,77.3,5
Topspin Cyber Flash 16,62,Fast,Polyester,193.7,47,4.8
Volkl V-Pro 17,62,Fast,Polyester,225.2,42.2,5.1
Gosen Polylon 16,51,Fast,Polyester,206.9,50.9,4.1
Luxilon 4G S 15,62,Fast,Polyester,320.6,17.3,NA
Wilson Ripspin 15,62,Fast,Polyester,243.5,33.6,4.9
Babolat Pro Hurricane 18,51,Fast,Polyester,185.2,37.2,3.3
Yonex Poly Tour HS 16 (1.30),51,Fast,Polyester,213.7,28.1,5
Babolat RPM Blast 16,40,Fast,Polyester,201.2,54.4,4.5
Polyfibre Black Venom 16 (1.30),62,Fast,Polyester,217.7,51.8,4.3
Wilson Enduro Pro 16,40,Fast,Polyester,205.7,41.9,4.7
L-Tec Premium 4S 16L (1.25),51,Fast,Polyester,233.7,35.3,6.7
Prince Poly EXP 17,62,Fast,Polyester,243.5,39.6,4.4
Solinco Tour Bite Diamond Rough 16 (1.30),62,Fast,Polyester,217.7,39.1,4.9
Gamma Zo Verve 16 (1.32),51,Fast,Polyester,229.2,22.2,5.9
Kirschbaum Pro Line I 17 (1.25),40,Fast,Polyester,180,56.4,4.1
Alien Black Diamond 16,40,Fast,Polyester,152.6,61.3,4.5
Luxilon Big Banger Rough 130/16,51,Fast,Polyester,212.6,52,4.4
Gamma Zo Tour Rough 16,62,Fast,Polyester,222.3,40.1,6.1
Solinco Revolution 16L (1.25),51,Fast,Polyester,212.6,28.4,8
Yonex Poly Tour Drive 16L (1.25),51,Fast,Polyester,195.5,47.1,7.6
Topspin Cyber Flash 17,51,Fast,Polyester,158.9,54.9,4.2
Head Sonic Pro 17,51,Fast,Polyester,164.6,54.9,3.9
Yonex Poly Tour Pro Yellow 16 (1.30),40,Fast,Polyester,173.7,46.4,3.4
Signum Pro Poly Megaforce 16,40,Fast,Polyester,218.9,43.4,4.3
MSV Focus Hex 17L (1.18),40,Fast,Polyester,189.7,45.3,6.5
Babolat Pro Hurricane Tour 17,40,Fast,Polyester,192,54.2,5.2
Polyfibre Viper 17/1.20,62,Fast,Polyester,204.6,51.8,3.9
Signum Pro Tornado 17 (1.23),62,Fast,Polyester,250.3,35,4.8
Kirschbaum Super Smash Spiky 17 (1.25),51,Fast,Polyester,214.3,51,5.2
Poly Star Strike 16 (1.30),51,Fast,Polyester,201.2,49.1,5.1
Tecnifibre Pro Red Code 16,62,Fast,Polyester,259.5,30.7,4.9
Prince Tour XT 18,40,Fast,Polyester,156.6,50.6,6.4
Volkl V-Star 16 (1.30),51,Fast,Polyester,172.6,54.5,6.9
Luxilon Big Banger TiMO 17L (1.17),40,Fast,Polyester,164.6,59.4,4.4
Wilson Spin Cycle 16L,51,Fast,Polyester,205.7,38.7,4.2
Babolat Duralast 17,62,Fast,Polyester,252.6,38.2,NA
Kirschbaum Max Power Rough 17 (1.25),51,Fast,Polyester,223.5,26.4,5.6
Kirschbaum Spiky Shark 17,51,Fast,Polyester,197.7,53.5,7.4
Solinco Tour Bite 18 (1.15),40,Fast,Polyester,143.4,58.1,5.8
Luxilon Alu Power Soft 1.25,51,Fast,Polyester,197.7,36.6,6.9
Gamma Moto 17 (1.24),51,Fast,Polyester,201.7,25.7,6.3
Polyfibre Cobra 17/1.20,62,Fast,Polyester,200,49.8,3.6
Kirschbaum Pro Line II 17L (1.20),51,Fast,Polyester,193.2,46,4.8
Tourna Big Hitter Silver Rough 16,51,Fast,Polyester,206.3,45,4.5
Luxilon ALU Power 125/16L,62,Fast,Polyester,248,37.3,5.8
Gamma Poly Z 16,40,Fast,Polyester,148,65.8,5.4
Tourna Big Hitter Silver 17,40,Fast,Polyester,167.4,51.7,5.4
Gamma Zo Magic 16,40,Fast,Polyester,229.2,43.6,4.1
Solinco Tour Bite Soft 17 (1.20),51,Fast,Polyester,186.3,29.2,5.7
LaserFibre Native Tour 17 (1.25),51,Fast,Polyester,200,46.1,4.9
Gosen Polylon 17 (1.24),51,Fast,Polyester,208,48.8,4.3
Polyfibre Poly Hightec 16/1.30,62,Fast,Polyester,210.9,55.2,4.1
Dunlop Black Widow 17,62,Fast,Polyester,219.5,35.9,5.4
Prince Tour 17,51,Fast,Polyester,198.9,55.6,3.4
Tecnifibre Black Code 4S 17 (1.25),40,Fast,Polyester,186.9,48.1,9.8
Signum Pro Poly-Plasma Pure 17L (1.18),40,Fast,Polyester,175.5,47.9,NA
Kirschbaum Competition 17 (1.25),62,Fast,Polyester,253.2,36.2,4.5
Poly Star Energy 17 (1.20),62,Fast,Polyester,217.2,52,4
Head Lynx 16 (1.30),40,Fast,Polyester,149.7,62.9,7
IsoSpeed Pulse 17,51,Fast,Polyester,159.4,55.6,NA
Volkl Cyclone Tour 18 (1.20),51,Fast,Polyester,159.4,51.3,7.8
Tourna Big Hitter Silver 7 Tour 16 (1.30),51,Fast,Polyester,238.3,18.7,NA
Babolat Hurricane Feel 16,40,Fast,Polyester,235.5,37.3,4.7
Kirschbaum Pro Line X 17 (1.25),62,Fast,Polyester,238.9,33.9,4.8
Yonex Poly Tour 130/16,51,Fast,Polyester,217.7,49.1,NA
Polyfibre Hightec Premium 16L,62,Fast,Polyester,210.3,52.1,4.4
Babolat Ballistic Polymono 16,51,Fast,Polyester,217.7,45.9,4.7
Prince Tour 16,51,Fast,Polyester,214.9,53,3.1
Double AR WTS 25 (1.25),40,Fast,Polyester,134.3,64.8,7.3
Solinco Outlast 17,40,Fast,Polyester,150.9,61.3,5.5
Kirschbaum Helix 16,40,Fast,Polyester,149.2,72.8,5.4
Babolat Pro Hurricane Tour 16,62,Fast,Polyester,272.6,35.2,5.1
Luxilon Big Banger Timo 17 (1.22),62,Fast,Polyester,248,34.5,3.9
Solinco Barb Wire 16,62,Fast,Polyester,246.9,34.7,4.4
Luxilon M2 Plus 130/16,40,Fast,Polyester,177.2,56.9,NA
MSV Focus Hex Soft 17 (1.25),62,Fast,Polyester,248,25.7,6.3
Prince Tour XC 15L,62,Fast,Polyester,240,35.1,5.5
Signum Pro Hyperion 18 (1.18),51,Fast,Polyester,184,36.1,5.8
Yonex Poly Tour Air 16L,51,Fast,Polyester,154.9,41,4.2
Topspin Cyber Blue 17,40,Fast,Polyester,169.7,71.6,5.1
Gosen Polymaster I 16,62,Fast,Polyester,224.6,42.2,4.7
Leopard Plus Control 16,40,Fast,Polyester,213.7,43.8,3.9
Luxilon 4G 16L (1.25),51,Fast,Polyester,258.9,21.3,3.9
Prince Twisted 16L,62,Fast,Polyester,260,37.6,3.7
Diadem Solstice Power 17 (1.20),62,Fast,Polyester,211.5,25.3,8.6
Weiss Cannon Turbotwist 17L (1.18),51,Fast,Polyester,203.5,48.6,4.8
Kirschbaum P2 17L (1.20),40,Fast,Polyester,176.6,47.2,4.8
Poly Star Classic 17 (1.20),40,Fast,Polyester,138.3,65.3,4
Pacific X Force 18,40,Fast,Polyester,193.7,45.6,4.7
Y-Tex Quadro Twist 16L,51,Fast,Polyester,177.7,48.5,6.2
IsoSpeed Pyramid 16,62,Fast,Polyester,203.5,48.1,7
Luxilon LXN Smart 16L (1.25),40,Fast,Polyester,146.3,68.8,6.8
Luxilon Monotec Supersense 16L/1.25,51,Fast,Polyester,209.7,47.7,2.1
Dunlop Juice 17 (1.26),40,Fast,Polyester,161.7,55.6,3.9
Kirschbaum Super Smash 16/1.30,62,Fast,Polyester,262.9,43.2,5.3
IsoSpeed Black Fire 17,40,Fast,Polyester,176.6,50.6,5.6
Luxilon Big Banger Ace 18 (1.12),40,Fast,Polyester,170.3,58.4,4
Boris Becker Bomber 16,40,Fast,Polyester,169.2,59.2,5.1
Boris Becker Bomber NYC 16 (1.28),51,Fast,Polyester,208,28.2,5.3
Head Hawk Touch 19 (1.15),51,Fast,Polyester,192,32.8,4.9
Weiss Cannon Mosquito Bite 18 (1.16),51,Fast,Polyester,182.3,35.4,5.6
Wilson Ripspin 17,62,Fast,Polyester,235.5,28.2,5.2
Double AR Twice Dragon(1.30),62,Fast,Polyester,198.3,45.7,7.2
Diadem Solstice Pro 15L (1.35),51,Fast,Polyester,192.6,28,7.1
SuperString Pure Control V8 17,40,Fast,Polyester,119.4,58.8,NA
Volkl Cyclone 18,40,Fast,Polyester,155.4,56.1,7.1
Babolat RPM Dual 16,51,Fast,Polyester,237.2,34.9,4.6
Prince Tour XC 17L,51,Fast,Polyester,205.7,36.6,5.9
Babolat Duralast 16,62,Fast,Polyester,244,44.4,NA
Solinco Tour Bite 16,62,Fast,Polyester,231.5,41.1,6.7
Polyfibre Black Venom Rough 16L (1.25),51,Fast,Polyester,162.3,60.8,6.2
Topspin Cyber Blue 17L (1.20),51,Fast,Polyester,184.6,33.7,5.1
